,TICKER,EMISOR,VENCIMIENTO,AMORTIZACION,CUPON_DE_RENTA,PROX_VENC,VR,COTIZACION,FECH_ULT_COT,RENTA_ANUAL,INT_CORRIDOS_C100vn,YIELD_ANUAL,VALOR_TECNICO_C100vn,PARIDAD_PERC,TIR_ANUAL,DM,PPV
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,23750.000,11-Ene-23,Fija=7,0.63,9.84,100.63,71.32,12.73%,5.97,7.51
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,35000.000,28-Dic-22,Fija=6,2.90,6.01,102.90,99.85,6.43%,0.49,0.50
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,36500.000,28-Dic-22,Fija=7.375,3.26,7.10,103.26,103.76,0.40%,0.54,0.54
2,IRCFO,IRSA CLASE XIV EN U$S ,28-Feb-24,5-Anual,Sem.,22-Jun-23,100.00,34299.000,28-Dic-22,Tasa fija.=8.75,0.19,8.71,100.19,100.49,8.77%,3.06,3.40
3,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,28-Feb-24,3-Anual,Sem.,8-Jun-23,100.00,37000.000,28-Dic-22,Tasa fija.=9.5,0.58,8.79,100.58,107.98,6.54%,2.55,2.70
4,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,28-Feb-24,7-Sem,Sem.,9-Abr-23,100.00,37500.000,28-Dic-22,Tasa fija.=8.25,1.17,7.58,101.17,108.81,5.30%,2.84,2.99
5,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,23799.000,28-Dic-22,Fija=8.75,1.46,8.96,71.46,97.76,12.06%,0.75,0.82
6,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,35000.000,28-Dic-22,Tasa fija=6.875,0.86,6.75,100.86,101.87,5.50%,1.29,1.33
7,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.70,32000.000,28-Dic-22,Fija=9.5,2.56,9.01,89.26,105.23,7.40%,1.29,1.38
8,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,30550.000,28-Dic-22,Fija=8.5,3.59,9.87,103.59,86.57,15.79%,2.09,2.32
9,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,35500.000,28-Dic-22,Fija=8.5,3.40,8.43,103.40,100.78,8.08%,1.40,1.51
10,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-23,100.00,33650.000,28-Dic-22,Fija=4,0.53,4.07,100.53,98.25,10.61%,1.43,1.56
11,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-23,100.00,35750.000,28-Dic-22,Fija=10.95,-,10.43,100.00,104.94,9.60%,2.90,3.05
12,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,34150.000,28-Dic-22,Fija=8,3.60,8.28,103.60,96.76,9.33%,2.91,3.13
13,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,39500.000,28-Dic-22,Fija=9.125,1.52,7.97,101.52,114.21,4.45%,2.88,2.99
14,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.00,35000.000,28-Dic-22,Tasa fija=8.75,2.87,8.76,102.87,99.88,8.99%,2.01,2.28
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,28700.000,28-Dic-22,Fija=2.5,-,2.97,100.00,84.25,13.92%,3.73,4.34
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,24000.000,28-Dic-22,Fija=1.5,0.38,2.14,100.38,70.19,12.98%,5.97,7.54
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,21250.000,9-May-22,Fija=6,2.08,5.99,102.08,100.11,5.97%,1.08,1.11
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,21400.000,9-May-22,Fija=7.375,2.25,7.33,102.25,100.65,6.88%,1.10,1.14
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,13900.000,9-May-22,Fija=8.75,0.63,9.25,70.63,94.65,13.31%,1.30,1.42
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-22,100.00,20750.000,9-May-22,Tasa fija=6.875,3.36,7.13,103.36,96.55,9.03%,1.77,1.87
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,21800.000,9-May-22,Fija=9.5,1.66,9.21,101.66,103.13,8.92%,1.62,1.77
5,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,17590.000,9-May-22,Fija=8.5,2.43,10.35,102.43,82.59,16.37%,2.56,2.87
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,20898.000,9-May-22,Fija=8.5,2.24,8.65,102.24,98.30,9.58%,1.92,2.09
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,18799.000,9-May-22,Fija=4,0.99,4.47,100.99,89.53,13.64%,1.96,2.15
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.00,21798.500,9-May-22,Fija=10.95,1.25,10.57,101.25,103.55,10.24%,3.28,3.50
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,20900.000,9-May-22,Fija=8,2.51,8.16,102.51,98.05,8.75%,3.40,3.66
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,23490.000,9-May-22,Fija=9.125,0.28,8.10,100.28,112.66,5.58%,3.35,3.52
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,21260.000,9-May-22,Tasa fija=8.75,1.68,8.70,101.68,100.56,8.69%,2.54,2.83
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,15100.000,9-May-22,Fija=2.5,0.91,3.49,100.91,71.97,16.38%,4.10,4.90
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,12300.000,6-May-22,Fija=1.5,0.17,2.54,100.17,59.05,14.78%,6.28,8.15
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,34500.000,12-Dic-22,Fija=6,2.63,6.04,102.63,99.35,7.39%,0.52,0.54
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,34200.000,12-Dic-22,Fija=7.375,2.93,7.51,102.93,98.20,10.93%,0.55,0.58
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-23,70.00,22700.000,12-Dic-22,Fija=8.75,1.19,9.29,71.19,94.24,16.95%,0.76,0.86
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,32900.000,12-Dic-22,Tasa fija=6.875,0.55,7.11,100.55,96.70,9.64%,1.31,1.37
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-23,86.70,30399.000,12-Dic-22,Fija=9.5,2.20,9.40,88.90,101.07,10.69%,1.29,1.42
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,28450.000,12-Dic-22,Fija=8.5,3.21,10.51,103.21,81.47,18.75%,2.09,2.37
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Feb-23,100.00,33330.000,12-Dic-22,Fija=8.5,3.02,8.90,103.02,95.62,11.99%,1.39,1.56
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Feb-23,100.00,32200.000,12-Dic-22,Fija=4,0.36,4.22,100.36,94.83,13.05%,1.45,1.60
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Dic-22,100.00,33801.000,12-Dic-22,Fija=10.95,2.25,11.21,102.25,97.70,12.30%,2.82,3.04
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Ene-23,100.00,32450.000,12-Dic-22,Fija=8,3.24,8.63,103.24,92.89,10.77%,2.91,3.17
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-23,100.00,38000.000,12-Dic-22,Fija=9.125,1.12,8.21,101.12,111.07,5.51%,2.90,3.03
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Mar-23,100.00,33000.000,12-Dic-22,Tasa fija=8.75,2.48,9.21,102.48,95.17,11.49%,1.99,2.32
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Dic-22,100.00,26100.000,12-Dic-22,Fija=2.5,1.14,3.29,101.14,76.27,16.76%,3.60,4.34
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-23,100.00,20100.000,12-Dic-22,Fija=1.5,0.31,2.54,100.31,59.22,16.00%,5.66,7.59
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,20000.000,23-Feb-22,Fija=6,0.82,6.14,100.82,97.73,7.97%,1.26,1.32
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,20250.000,23-Feb-22,Fija=7.375,0.70,7.44,100.70,99.07,8.28%,1.29,1.35
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,19845.000,23-Feb-22,Fija=8.75,3.43,9.28,103.43,94.53,14.74%,1.00,1.16
3,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-22,100.00,21300.000,23-Feb-22,Fija=9.5,4.41,9.45,104.41,100.51,10.53%,1.71,1.90
4,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,16800.000,23-Feb-22,Fija=8.5,0.64,10.35,100.64,82.24,16.01%,2.75,3.08
5,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,20100.000,23-Feb-22,Fija=8.5,0.45,8.62,100.45,98.58,9.38%,2.12,2.29
6,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,17840.000,23-Feb-22,Fija=4,0.14,4.56,100.14,87.76,13.75%,2.16,2.35
7,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.00,21250.000,23-Feb-22,Fija=10.95,1.67,10.63,101.67,102.97,10.48%,3.38,3.64
8,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,19600.000,23-Feb-22,Fija=8,0.82,8.36,100.82,95.77,9.41%,3.58,3.87
9,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,23200.000,23-Feb-22,Fija=9.125,2.91,8.19,102.91,111.06,6.09%,3.40,3.61
10,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14800.000,22-Feb-22,Fija=2.5,0.38,3.45,100.38,72.63,15.50%,4.33,5.10
11,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.00,11400.000,22-Feb-22,Fija=1.5,0.60,2.70,100.60,55.82,15.39%,6.32,8.32
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,22134.000,9-Jun-22,Fija=6,2.62,5.85,102.62,102.56,3.49%,1.00,1.02
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,22698.500,9-Jun-22,Fija=7.375,2.91,7.02,102.91,104.88,2.75%,1.04,1.05
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,14000.000,9-Jun-22,Fija=8.75,1.17,9.37,71.17,93.53,14.69%,1.20,1.33
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,21250.000,9-Jun-22,Tasa fija=6.875,0.53,6.84,100.53,100.50,6.69%,1.77,1.83
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,21700.000,9-Jun-22,Fija=9.5,2.51,9.44,102.51,100.66,10.56%,1.51,1.68
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,17800.000,9-Jun-22,Fija=8.5,3.19,10.44,103.19,82.02,16.95%,2.46,2.78
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,22249.000,9-Jun-22,Fija=8.5,3.00,8.27,103.00,102.71,7.16%,1.87,2.00
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Ago-22,100.00,19500.000,9-Jun-22,Fija=4,0.34,4.33,100.34,92.40,12.22%,1.91,2.08
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-22,100.00,22400.000,9-Jun-22,Fija=10.95,2.22,10.50,102.22,104.19,10.01%,3.19,3.41
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,21310.000,9-Jun-22,Fija=8,3.22,8.15,103.22,98.16,8.73%,3.31,3.57
10,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-22,100.00,24650.000,9-Jun-22,Fija=9.125,1.09,7.86,101.09,115.94,4.58%,3.29,3.43
11,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-22,100.00,21201.000,9-Jun-22,Tasa fija=8.75,2.45,8.90,102.45,98.39,9.62%,2.42,2.74
12,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14800.000,9-Jun-22,Fija=2.5,1.13,3.61,101.13,69.58,17.60%,3.96,4.81
13,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-22,100.00,12685.000,9-Jun-22,Fija=1.5,0.30,2.50,100.30,60.13,14.66%,6.21,8.06
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,48000.000,8-May-23,Fija=6,2.07,5.59,102.07,107.21,-,0.19,0.16
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-23,100.00,47010.000,8-May-23,Fija=7.375,2.23,7.03,102.23,104.83,-,0.21,0.20
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-23,40.00,17550.000,8-May-23,Fija=8.75,0.35,8.83,40.35,99.16,9.93%,0.84,0.88
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-May-23,100.00,45600.000,8-May-23,Tasa fija=6.875,3.34,6.83,103.34,100.59,6.32%,0.94,0.97
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-23,73.40,33900.000,8-May-23,Fija=9.5,1.20,9.17,74.60,103.60,8.42%,1.18,1.26
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-23,100.00,39800.000,8-May-23,Fija=8.5,2.36,9.62,102.36,88.64,15.38%,1.86,2.04
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-23,97.00,42699.000,8-May-23,Fija=8.5,2.15,8.66,99.15,98.17,10.32%,1.13,1.25
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-23,92.31,42100.000,8-May-23,Fija=9,2.03,8.84,94.34,101.74,7.80%,1.25,1.33
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-23,100.00,46500.000,8-May-23,Fija=10.95,1.22,10.45,101.22,104.73,9.48%,2.62,2.75
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-23,100.00,41286.000,8-May-23,Fija=8,2.49,8.73,102.49,91.84,11.48%,2.64,2.86
10,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,8-Dic-26,3-Anual,Sem.,8-Jun-23,100.00,50988.000,8-May-23,Tasa fija.=9.5,4.01,8.46,104.01,111.76,4.46%,2.25,2.34
11,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-23,100.00,48500.000,8-May-23,Fija=9.125,0.25,8.27,100.25,110.29,5.37%,2.61,2.73
12,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-23,90.00,40500.000,8-May-23,Tasa fija=8.75,1.49,8.67,91.49,100.92,8.43%,1.98,2.20
13,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Oct-23,100.00,48800.000,8-May-23,Tasa fija.=8.25,0.71,7.46,100.71,110.47,4.37%,2.59,2.70
14,IRCFO,IRSA CLASE XIV EN U$S ,22-Jun-28,5-Anual,Sem.,22-Jun-23,100.00,46996.000,8-May-23,Tasa fija.=8.75,3.35,8.43,103.35,103.66,7.55%,2.76,3.04
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,38850.000,8-May-23,Fija=9,3.25,10.55,103.25,85.78,13.82%,3.40,3.98
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-23,100.00,32000.000,8-May-23,Fija=7,0.78,9.70,100.78,72.39,12.60%,5.85,7.28
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-23,100.00,50500.000,22-May-23,Fija=6,2.30,5.52,102.30,108.58,-,0.15,0.12
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-23,100.00,50700.000,22-May-23,Fija=7.375,2.52,6.77,102.52,108.77,-,0.19,0.16
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-23,40.00,19000.000,22-May-23,Fija=8.75,0.49,8.47,40.49,103.22,4.86%,0.83,0.85
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-23,100.00,48197.000,22-May-23,Tasa fija=6.875,0.17,6.50,100.17,105.83,0.85%,0.96,0.96
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-23,73.40,37400.000,22-May-23,Fija=9.5,1.47,8.63,74.87,109.87,3.19%,1.19,1.22
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,28-Jul-23,100.00,44575.000,22-May-23,Fija=8.5,2.69,8.91,102.69,95.47,11.25%,1.87,2.01
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-23,97.00,46500.000,22-May-23,Fija=8.5,2.47,8.26,99.47,102.82,6.07%,1.14,1.21
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Ago-23,84.62,41100.000,22-May-23,Fija=9,0.25,8.45,84.87,106.51,4.39%,1.38,1.42
8,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Jun-23,100.00,50200.000,22-May-23,Fija=10.95,1.64,10.07,101.64,108.63,7.95%,2.60,2.71
9,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-23,100.00,44975.000,22-May-23,Fija=8,2.80,8.32,102.80,96.23,9.66%,2.64,2.83
10,MGC9O,O.N. PAMPA ENERGIA CLASE 9 EN U$S ,8-Dic-26,3-Anual,Sem.,8-Jun-23,100.00,54200.000,22-May-23,Tasa fija.=9.5,4.38,8.27,104.38,114.21,3.37%,2.23,2.30
11,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Oct-23,100.00,53200.000,22-May-23,Fija=9.125,0.61,7.84,100.61,116.30,3.23%,2.62,2.69
12,GNCXO,GENNEIA S.A. CLASE 31 EN U$S ,2-Sep-27,10-Sem,Sem.,2-Sep-23,90.00,44400.000,22-May-23,Tasa fija=8.75,1.79,8.21,91.79,106.39,5.65%,2.01,2.16
13,RCCJO,ARCOR S.A.I.C CLASE XVIII EN U$S ,9-Oct-27,7-Sem,Sem.,9-Oct-23,100.00,51400.000,22-May-23,Tasa fija.=8.25,1.03,7.36,101.03,111.90,3.80%,2.57,2.67
14,IRCFO,IRSA CLASE XIV EN U$S ,22-Jun-28,5-Anual,Sem.,22-Jun-23,100.00,50000.000,22-May-23,Tasa fija.=8.75,3.69,8.23,103.69,106.05,6.67%,2.75,3.00
15,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-23,100.00,43200.000,22-May-23,Fija=9,3.60,9.85,103.60,91.71,11.78%,3.44,3.94
16,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Sep-23,100.00,33700.000,22-May-23,Fija=7,1.05,9.58,101.05,73.35,12.40%,5.84,7.24
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Jul-22,100.00,20100.000,22-Feb-22,Fija=6,0.80,6.07,100.80,98.86,7.04%,1.27,1.32
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Jul-22,100.00,20101.000,22-Feb-22,Fija=7.375,0.68,7.45,100.68,98.98,8.35%,1.30,1.35
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Abr-22,100.00,20400.000,22-Feb-22,Fija=8.75,3.40,8.95,103.40,97.81,11.17%,1.04,1.17
3,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Mar-22,100.00,21300.000,22-Feb-22,Fija=9.5,4.38,9.39,104.38,101.17,10.13%,1.72,1.90
4,YCA6O,YPF Clase XXXIX 2025 ,28-Jul-25,Al Vto.,Sem.,28-Jul-22,100.00,16820.000,22-Feb-22,Fija=8.5,0.61,10.27,100.61,82.88,15.70%,2.76,3.08
5,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,20060.000,22-Feb-22,Fija=8.5,0.43,8.58,100.43,99.03,9.16%,2.12,2.29
6,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-May-22,100.00,18300.000,22-Feb-22,Fija=4,0.13,4.42,100.13,90.60,12.13%,2.18,2.36
7,MTCGO,MASTELLONE HNOS. Clase G en U$S ,30-Jun-26,Al Vto.,Trim.,30-Mar-22,100.00,21100.000,22-Feb-22,Fija=10.95,1.64,10.63,101.64,102.92,10.49%,3.39,3.65
8,TLC1O,TELECOM CLASE 1 8% EN U$S ,18-Jul-26,Al Vto.,Sem.,18-Jul-22,100.00,19800.000,22-Feb-22,Fija=8,0.80,8.22,100.80,97.38,8.93%,3.59,3.87
9,PNDCO,PAE Clase 12 en U$S ,30-Abr-27,5-Sem,Sem.,30-Abr-22,100.00,23150.000,22-Feb-22,Fija=9.125,2.89,8.16,102.89,111.55,5.96%,3.41,3.62
10,YMCIO,YPF Clase XVII 2029 ,30-Jun-29,7-Sem,Sem.,30-Jun-22,100.00,14800.000,22-Feb-22,Fija=2.5,0.38,3.42,100.38,73.10,15.34%,4.34,5.10
11,YMCJO,YPF Clase XVIII 2033 ,30-Sep-33,4-Anual,Sem.,30-Mar-22,100.00,11400.000,22-Feb-22,Fija=1.5,0.60,2.68,100.60,56.18,15.28%,6.33,8.32
0,RCC9O,Arcor 6% Vto. 2023 ,6-Jul-23,Al Vto.,Sem.,6-Ene-23,100.00,28100.000,1-Ago-22,Fija=6,0.45,6.00,100.45,100.04,6.05%,0.88,0.91
1,PTSTO,PETROBRAS ARGENTINA SERIE T EN U$S ,21-Jul-23,Al Vto.,Sem.,21-Ene-23,100.00,27400.000,1-Ago-22,Fija=7.375,0.25,7.55,100.25,97.74,10.15%,0.90,0.95
2,YPCUO,YPF Clase XXVIII 2024 ,4-Abr-24,3 Anual,Sem.,4-Oct-22,70.00,15750.000,1-Ago-22,Fija=8.75,2.02,11.28,72.02,78.20,35.34%,0.94,1.19
3,CAC2O,CAPEX CLASE 2 REGS 6.875% Vto. 2024 ,15-May-24,Al Vto.,Sem.,15-Nov-22,100.00,27000.000,1-Ago-22,Tasa fija=6.875,1.49,7.23,101.49,95.14,10.20%,1.60,1.69
4,CP17O,CIA GENERAL DE COMBUSTIBLES CLASE 17 EN U$S ,8-Mar-25,6-Sem,Sem.,8-Sep-22,100.00,28500.000,1-Ago-22,Fija=9.5,3.83,9.69,103.83,98.16,12.59%,1.35,1.54
5,YCA6O,YPF Clase XXXIX 2025 (c) ,28-Jul-25,Al Vto.,Sem.,30-Ene-23,100.00,18255.000,1-Ago-22,Fija=8.5,0.12,13.04,100.12,65.20,27.65%,2.30,2.73
6,TLC5O,TELECOM Clase 5 en U$S ,6-Ago-25,4-Anual,Sem.,6-Ago-22,100.00,27000.000,1-Ago-22,Fija=8.5,4.18,9.20,104.18,92.68,13.45%,1.64,1.86
7,YMCHO,YPF Clase XVI 2026 ,12-Feb-26,13-Trim,Trim.,12-Ago-22,100.00,23900.000,1-Ago-22,Fija=4,0.90,4.73,100.90,84.70,18.44%,1.71,1.94
